name,value
Afghanistan,NaN
Aland,NaN
Albania,NaN
Algeria,NaN
American Samoa,NaN
Andorra,NaN
Angola,NaN
Antigua and Barb.,NaN
Argentina,NaN
Armenia,NaN
Australia,NaN
Austria,NaN
Azerbaijan,NaN
Bahamas,NaN
Bahrain,NaN
Bangladesh,NaN
Barbados,NaN
Belarus,NaN
Belgium,NaN
Belize,NaN
Benin,NaN
Bermuda,NaN
Bhutan,NaN
Bolivia,NaN
Bosnia and Herz.,NaN
Botswana,NaN
Br. Indian Ocean Ter.,NaN
Brazil,NaN
Brunei,NaN
Bulgaria,NaN
Burkina Faso,NaN
Burundi,NaN
Cambodia,NaN
Cameroon,NaN
Canada,NaN
Cape Verde,NaN
Cayman Is.,NaN
Central African Rep.,NaN
Chad,NaN
Chile,NaN
China,NaN
Colombia,NaN
Comoros,NaN
Congo,NaN
Costa Rica,NaN
Croatia,NaN
Cuba,NaN
Curaçao,NaN
Cyprus,NaN
Czech Rep.,NaN
Côte d'Ivoire,NaN
Dem. Rep. Congo,NaN
Dem. Rep. Korea,NaN
Denmark,NaN
Djibouti,NaN
Dominica,NaN
Dominican Rep.,NaN
Ecuador,NaN
Egypt,NaN
El Salvador,NaN
Eq. Guinea,NaN
Eritrea,NaN
Estonia,NaN
Ethiopia,NaN
Faeroe Is.,NaN
Falkland Is.,NaN
Fiji,NaN
Finland,NaN
Fr. Polynesia,NaN
Fr. S. Antarctic Lands,NaN
France,NaN
Gabon,NaN
Gambia,NaN
Georgia,NaN
Germany,NaN
Ghana,NaN
Greece,NaN
Greenland,NaN
Grenada,NaN
Guam,NaN
Guatemala,NaN
Guinea,NaN
Guinea-Bissau,NaN
Guyana,NaN
Haiti,NaN
Heard I. and McDonald Is.,NaN
Honduras,NaN
Hungary,NaN
Iceland,NaN
India,NaN
Indonesia,NaN
Iran,NaN
Iraq,NaN
Ireland,NaN
Isle of Man,NaN
Israel,NaN
Italy,NaN
Jamaica,NaN
Japan,NaN
Jersey,NaN
Jordan,NaN
Kazakhstan,NaN
Kenya,NaN
Kiribati,NaN
Korea,NaN
Kuwait,NaN
Kyrgyzstan,NaN
Lao PDR,NaN
Latvia,NaN
Lebanon,NaN
Lesotho,NaN
Liberia,NaN
Libya,NaN
Liechtenstein,NaN
Lithuania,NaN
Luxembourg,NaN
Macedonia,NaN
Madagascar,NaN
Malawi,NaN
Malaysia,NaN
Mali,NaN
Malta,NaN
Mauritania,NaN
Mauritius,NaN
Mexico,NaN
Micronesia,NaN
Moldova,NaN
Mongolia,NaN
Montenegro,NaN
Montserrat,NaN
Morocco,NaN
Mozambique,NaN
Myanmar,NaN
N. Cyprus,NaN
N. Mariana Is.,NaN
Namibia,NaN
Nepal,NaN
Netherlands,NaN
New Caledonia,NaN
New Zealand,NaN
Nicaragua,NaN
Niger,NaN
Nigeria,NaN
Niue,NaN
Norway,NaN
Oman,NaN
Pakistan,NaN
Palau,NaN
Palestine,NaN
Panama,NaN
Papua New Guinea,NaN
Paraguay,NaN
Peru,NaN
Philippines,NaN
Poland,NaN
Portugal,NaN
Puerto Rico,NaN
Qatar,NaN
Romania,NaN
Russia,NaN
Rwanda,NaN
S. Geo. and S. Sandw. Is.,NaN
S. Sudan,NaN
Saint Helena,NaN
Saint Lucia,NaN
Samoa,NaN
Saudi Arabia,NaN
Senegal,NaN
Serbia,NaN
Seychelles,NaN
Siachen Glacier,NaN
Sierra Leone,NaN
Singapore,NaN
Slovakia,NaN
Slovenia,NaN
Solomon Is.,NaN
Somalia,NaN
South Africa,NaN
Spain,NaN
Sri Lanka,NaN
St. Pierre and Miquelon,NaN
St. Vin. and Gren.,NaN
Sudan,NaN
Suriname,NaN
Swaziland,NaN
Sweden,NaN
Switzerland,NaN
Syria,NaN
São Tomé and Principe,NaN
Tajikistan,NaN
Tanzania,NaN
Thailand,NaN
Timor-Leste,NaN
Togo,NaN
Tonga,NaN
Trinidad and Tobago,NaN
Tunisia,NaN
Turkey,NaN
Turkmenistan,NaN
Turks and Caicos Is.,NaN
U.S. Virgin Is.,NaN
Uganda,NaN
Ukraine,NaN
United Arab Emirates,NaN
United Kingdom,NaN
United States,NaN
Uruguay,NaN
Uzbekistan,NaN
Vanuatu,NaN
Venezuela,NaN
Vietnam,NaN
W. Sahara,NaN
Yemen,NaN
Zambia,NaN
Zimbabwe,NaN
