国家,本周新增死亡人数
美国,12220.0
巴西,4098.0
英国,3409.0
意大利,1676.0
法国,1485.0
西班牙,1357.0
墨西哥,1292.0
加拿大,1188.0
印度,821.0
比利时,812.0
德国,712.0
俄罗斯,635.0
秘鲁,603.0
厄瓜多尔,563.0
瑞典,546.0
其他,4185.0
