日期,新增确诊人数,新增死亡人数
"2020-04-20",79221.0,5894.0
"2020-04-21",71412.0,4307.0
"2020-04-22",77146.0,7229.0
"2020-04-23",78413.0,6546.0
"2020-04-24",80343.0,6387.0
"2020-04-25",107882.0,6465.0
"2020-04-26",93870.0,6361.0
