国家,本周新增确诊人数
美国,219436.0
俄罗斯,37795.0
英国,34160.0
西班牙,32033.0
土耳其,25444.0
巴西,21958.0
意大利,19426.0
法国,14706.0
厄瓜多尔,13697.0
德国,12784.0
加拿大,11920.0
秘鲁,10911.0
印度,10561.0
伊朗,8460.0
比利时,8142.0
其他,106854.0
